day_key,actual_date,day_of_month,month,quarter,year
1,1999-01-01,1,1,1,1999
2,1999-01-02,2,1,1,1999
3,1999-01-03,3,1,1,1999
4,1999-01-04,4,1,1,1999
5,1999-01-05,5,1,1,1999
6,1999-01-06,6,1,1,1999
7,1999-01-07,7,1,1,1999
8,1999-01-08,8,1,1,1999
9,1999-01-09,9,1,1,1999
10,1999-01-10,10,1,1,1999
11,1999-01-11,11,1,1,1999
12,1999-01-12,12,1,1,1999
13,1999-01-13,13,1,1,1999
14,1999-01-14,14,1,1,1999
15,1999-01-15,15,1,1,1999
16,1999-01-16,16,1,1,1999
17,1999-01-17,17,1,1,1999
18,1999-01-18,18,1,1,1999
19,1999-01-19,19,1,1,1999
20,1999-01-20,20,1,1,1999
21,1999-01-21,21,1,1,1999
22,1999-01-22,22,1,1,1999
23,1999-01-23,23,1,1,1999
24,1999-01-24,24,1,1,1999
25,1999-01-25,25,1,1,1999
26,1999-01-26,26,1,1,1999
27,1999-01-27,27,1,1,1999
28,1999-01-28,28,1,1,1999
29,1999-01-29,29,1,1,1999
30,1999-01-30,30,1,1,1999
31,1999-01-31,31,1,1,1999
32,1999-02-01,1,2,1,1999
33,1999-02-02,2,2,1,1999
34,1999-02-03,3,2,1,1999
35,1999-02-04,4,2,1,1999
36,1999-02-05,5,2,1,1999
37,1999-02-06,6,2,1,1999
38,1999-02-07,7,2,1,1999
39,1999-02-08,8,2,1,1999
40,1999-02-09,9,2,1,1999
41,1999-02-10,10,2,1,1999
42,1999-02-11,11,2,1,1999
43,1999-02-12,12,2,1,1999
44,1999-02-13,13,2,1,1999
45,1999-02-14,14,2,1,1999
46,1999-02-15,15,2,1,1999
47,1999-02-16,16,2,1,1999
48,1999-02-17,17,2,1,1999
49,1999-02-18,18,2,1,1999
50,1999-02-19,19,2,1,1999
51,1999-02-20,20,2,1,1999
52,1999-02-21,21,2,1,1999
53,1999-02-22,22,2,1,1999
54,1999-02-23,23,2,1,1999
55,1999-02-24,24,2,1,1999
56,1999-02-25,25,2,1,1999
57,1999-02-26,26,2,1,1999
58,1999-02-27,27,2,1,1999
59,1999-02-28,28,2,1,1999
60,1999-03-01,1,3,1,1999
61,1999-03-02,2,3,1,1999
62,1999-03-03,3,3,1,1999
63,1999-03-04,4,3,1,1999
64,1999-03-05,5,3,1,1999
65,1999-03-06,6,3,1,1999
66,1999-03-07,7,3,1,1999
67,1999-03-08,8,3,1,1999
68,1999-03-09,9,3,1,1999
69,1999-03-10,10,3,1,1999
70,1999-03-11,11,3,1,1999
71,1999-03-12,12,3,1,1999
72,1999-03-13,13,3,1,1999
73,1999-03-14,14,3,1,1999
74,1999-03-15,15,3,1,1999
75,1999-03-16,16,3,1,1999
76,1999-03-17,17,3,1,1999
77,1999-03-18,18,3,1,1999
78,1999-03-19,19,3,1,1999
79,1999-03-20,20,3,1,1999
80,1999-03-21,21,3,1,1999
81,1999-03-22,22,3,1,1999
82,1999-03-23,23,3,1,1999
83,1999-03-24,24,3,1,1999
84,1999-03-25,25,3,1,1999
85,1999-03-26,26,3,1,1999
86,1999-03-27,27,3,1,1999
87,1999-03-28,28,3,1,1999
88,1999-03-29,29,3,1,1999
89,1999-03-30,30,3,1,1999
90,1999-03-31,31,3,1,1999
91,1999-04-01,1,4,2,1999
92,1999-04-02,2,4,2,1999
93,1999-04-03,3,4,2,1999
94,1999-04-04,4,4,2,1999
95,1999-04-05,5,4,2,1999
96,1999-04-06,6,4,2,1999
97,1999-04-07,7,4,2,1999
98,1999-04-08,8,4,2,1999
99,1999-04-09,9,4,2,1999
100,1999-04-10,10,4,2,1999
101,1999-04-11,11,4,2,1999
102,1999-04-12,12,4,2,1999
103,1999-04-13,13,4,2,1999
104,1999-04-14,14,4,2,1999
105,1999-04-15,15,4,2,1999
106,1999-04-16,16,4,2,1999
107,1999-04-17,17,4,2,1999
108,1999-04-18,18,4,2,1999
109,1999-04-19,19,4,2,1999
110,1999-04-20,20,4,2,1999
111,1999-04-21,21,4,2,1999
112,1999-04-22,22,4,2,1999
113,1999-04-23,23,4,2,1999
114,1999-04-24,24,4,2,1999
115,1999-04-25,25,4,2,1999
116,1999-04-26,26,4,2,1999
117,1999-04-27,27,4,2,1999
118,1999-04-28,28,4,2,1999
119,1999-04-29,29,4,2,1999
120,1999-04-30,30,4,2,1999
121,1999-05-01,1,5,2,1999
122,1999-05-02,2,5,2,1999
123,1999-05-03,3,5,2,1999
124,1999-05-04,4,5,2,1999
125,1999-05-05,5,5,2,1999
126,1999-05-06,6,5,2,1999
127,1999-05-07,7,5,2,1999
128,1999-05-08,8,5,2,1999
129,1999-05-09,9,5,2,1999
130,1999-05-10,10,5,2,1999
131,1999-05-11,11,5,2,1999
132,1999-05-12,12,5,2,1999
133,1999-05-13,13,5,2,1999
134,1999-05-14,14,5,2,1999
135,1999-05-15,15,5,2,1999
136,1999-05-16,16,5,2,1999
137,1999-05-17,17,5,2,1999
138,1999-05-18,18,5,2,1999
139,1999-05-19,19,5,2,1999
140,1999-05-20,20,5,2,1999
141,1999-05-21,21,5,2,1999
142,1999-05-22,22,5,2,1999
143,1999-05-23,23,5,2,1999
144,1999-05-24,24,5,2,1999
145,1999-05-25,25,5,2,1999
146,1999-05-26,26,5,2,1999
147,1999-05-27,27,5,2,1999
148,1999-05-28,28,5,2,1999
149,1999-05-29,29,5,2,1999
150,1999-05-30,30,5,2,1999
151,1999-05-31,31,5,2,1999
152,1999-06-01,1,6,2,1999
153,1999-06-02,2,6,2,1999
154,1999-06-03,3,6,2,1999
155,1999-06-04,4,6,2,1999
156,1999-06-05,5,6,2,1999
157,1999-06-06,6,6,2,1999
158,1999-06-07,7,6,2,1999
159,1999-06-08,8,6,2,1999
160,1999-06-09,9,6,2,1999
161,1999-06-10,10,6,2,1999
162,1999-06-11,11,6,2,1999
163,1999-06-12,12,6,2,1999
164,1999-06-13,13,6,2,1999
165,1999-06-14,14,6,2,1999
166,1999-06-15,15,6,2,1999
167,1999-06-16,16,6,2,1999
168,1999-06-17,17,6,2,1999
169,1999-06-18,18,6,2,1999
170,1999-06-19,19,6,2,1999
171,1999-06-20,20,6,2,1999
172,1999-06-21,21,6,2,1999
173,1999-06-22,22,6,2,1999
174,1999-06-23,23,6,2,1999
175,1999-06-24,24,6,2,1999
176,1999-06-25,25,6,2,1999
177,1999-06-26,26,6,2,1999
178,1999-06-27,27,6,2,1999
179,1999-06-28,28,6,2,1999
180,1999-06-29,29,6,2,1999
181,1999-06-30,30,6,2,1999
182,1999-07-01,1,7,2,1999
183,1999-07-02,2,7,2,1999
184,1999-07-03,3,7,2,1999
185,1999-07-04,4,7,2,1999
186,1999-07-05,5,7,2,1999
187,1999-07-06,6,7,2,1999
188,1999-07-07,7,7,2,1999
189,1999-07-08,8,7,2,1999
190,1999-07-09,9,7,2,1999
191,1999-07-10,10,7,2,1999
192,1999-07-11,11,7,2,1999
193,1999-07-12,12,7,2,1999
194,1999-07-13,13,7,2,1999
195,1999-07-14,14,7,2,1999
196,1999-07-15,15,7,2,1999
197,1999-07-16,16,7,2,1999
198,1999-07-17,17,7,2,1999
199,1999-07-18,18,7,2,1999
200,1999-07-19,19,7,2,1999
201,1999-07-20,20,7,2,1999
202,1999-07-21,21,7,2,1999
203,1999-07-22,22,7,2,1999
204,1999-07-23,23,7,2,1999
205,1999-07-24,24,7,2,1999
206,1999-07-25,25,7,2,1999
207,1999-07-26,26,7,2,1999
208,1999-07-27,27,7,2,1999
209,1999-07-28,28,7,2,1999
210,1999-07-29,29,7,2,1999
211,1999-07-30,30,7,2,1999
212,1999-07-31,31,7,2,1999
213,1999-08-01,1,8,3,1999
214,1999-08-02,2,8,3,1999
215,1999-08-03,3,8,3,1999
216,1999-08-04,4,8,3,1999
217,1999-08-05,5,8,3,1999
218,1999-08-06,6,8,3,1999
219,1999-08-07,7,8,3,1999
220,1999-08-08,8,8,3,1999
221,1999-08-09,9,8,3,1999
222,1999-08-10,10,8,3,1999
223,1999-08-11,11,8,3,1999
224,1999-08-12,12,8,3,1999
225,1999-08-13,13,8,3,1999
226,1999-08-14,14,8,3,1999
227,1999-08-15,15,8,3,1999
228,1999-08-16,16,8,3,1999
229,1999-08-17,17,8,3,1999
230,1999-08-18,18,8,3,1999
231,1999-08-19,19,8,3,1999
232,1999-08-20,20,8,3,1999
233,1999-08-21,21,8,3,1999
234,1999-08-22,22,8,3,1999
235,1999-08-23,23,8,3,1999
236,1999-08-24,24,8,3,1999
237,1999-08-25,25,8,3,1999
238,1999-08-26,26,8,3,1999
239,1999-08-27,27,8,3,1999
240,1999-08-28,28,8,3,1999
241,1999-08-29,29,8,3,1999
242,1999-08-30,30,8,3,1999
243,1999-08-31,31,8,3,1999
244,1999-09-01,1,9,3,1999
245,1999-09-02,2,9,3,1999
246,1999-09-03,3,9,3,1999
247,1999-09-04,4,9,3,1999
248,1999-09-05,5,9,3,1999
249,1999-09-06,6,9,3,1999
250,1999-09-07,7,9,3,1999
251,1999-09-08,8,9,3,1999
252,1999-09-09,9,9,3,1999
253,1999-09-10,10,9,3,1999
254,1999-09-11,11,9,3,1999
255,1999-09-12,12,9,3,1999
256,1999-09-13,13,9,3,1999
257,1999-09-14,14,9,3,1999
258,1999-09-15,15,9,3,1999
259,1999-09-16,16,9,3,1999
260,1999-09-17,17,9,3,1999
261,1999-09-18,18,9,3,1999
262,1999-09-19,19,9,3,1999
263,1999-09-20,20,9,3,1999
264,1999-09-21,21,9,3,1999
265,1999-09-22,22,9,3,1999
266,1999-09-23,23,9,3,1999
267,1999-09-24,24,9,3,1999
268,1999-09-25,25,9,3,1999
269,1999-09-26,26,9,3,1999
270,1999-09-27,27,9,3,1999
271,1999-09-28,28,9,3,1999
272,1999-09-29,29,9,3,1999
273,1999-09-30,30,9,3,1999
274,1999-10-01,1,10,3,1999
275,1999-10-02,2,10,3,1999
276,1999-10-03,3,10,3,1999
277,1999-10-04,4,10,3,1999
278,1999-10-05,5,10,3,1999
279,1999-10-06,6,10,3,1999
280,1999-10-07,7,10,3,1999
281,1999-10-08,8,10,3,1999
282,1999-10-09,9,10,3,1999
283,1999-10-10,10,10,3,1999
284,1999-10-11,11,10,3,1999
285,1999-10-12,12,10,3,1999
286,1999-10-13,13,10,3,1999
287,1999-10-14,14,10,3,1999
288,1999-10-15,15,10,3,1999
289,1999-10-16,16,10,3,1999
290,1999-10-17,17,10,3,1999
291,1999-10-18,18,10,3,1999
292,1999-10-19,19,10,3,1999
293,1999-10-20,20,10,3,1999
294,1999-10-21,21,10,3,1999
295,1999-10-22,22,10,3,1999
296,1999-10-23,23,10,3,1999
297,1999-10-24,24,10,3,1999
298,1999-10-25,25,10,3,1999
299,1999-10-26,26,10,3,1999
300,1999-10-27,27,10,3,1999
301,1999-10-28,28,10,3,1999
302,1999-10-29,29,10,3,1999
303,1999-10-30,30,10,3,1999
304,1999-10-31,31,10,3,1999
305,1999-11-01,1,11,3,1999
306,1999-11-02,2,11,3,1999
307,1999-11-03,3,11,3,1999
308,1999-11-04,4,11,3,1999
309,1999-11-05,5,11,3,1999
310,1999-11-06,6,11,3,1999
311,1999-11-07,7,11,3,1999
312,1999-11-08,8,11,3,1999
313,1999-11-09,9,11,3,1999
314,1999-11-10,10,11,3,1999
315,1999-11-11,11,11,3,1999
316,1999-11-12,12,11,3,1999
317,1999-11-13,13,11,3,1999
318,1999-11-14,14,11,3,1999
319,1999-11-15,15,11,3,1999
320,1999-11-16,16,11,3,1999
321,1999-11-17,17,11,3,1999
322,1999-11-18,18,11,3,1999
323,1999-11-19,19,11,3,1999
324,1999-11-20,20,11,3,1999
325,1999-11-21,21,11,3,1999
326,1999-11-22,22,11,3,1999
327,1999-11-23,23,11,3,1999
328,1999-11-24,24,11,3,1999
329,1999-11-25,25,11,3,1999
330,1999-11-26,26,11,3,1999
331,1999-11-27,27,11,3,1999
332,1999-11-28,28,11,3,1999
333,1999-11-29,29,11,3,1999
334,1999-11-30,30,11,3,1999
335,1999-12-01,1,12,4,1999
336,1999-12-02,2,12,4,1999
337,1999-12-03,3,12,4,1999
338,1999-12-04,4,12,4,1999
339,1999-12-05,5,12,4,1999
340,1999-12-06,6,12,4,1999
341,1999-12-07,7,12,4,1999
342,1999-12-08,8,12,4,1999
343,1999-12-09,9,12,4,1999
344,1999-12-10,10,12,4,1999
345,1999-12-11,11,12,4,1999
346,1999-12-12,12,12,4,1999
347,1999-12-13,13,12,4,1999
348,1999-12-14,14,12,4,1999
349,1999-12-15,15,12,4,1999
350,1999-12-16,16,12,4,1999
351,1999-12-17,17,12,4,1999
352,1999-12-18,18,12,4,1999
353,1999-12-19,19,12,4,1999
354,1999-12-20,20,12,4,1999
355,1999-12-21,21,12,4,1999
356,1999-12-22,22,12,4,1999
357,1999-12-23,23,12,4,1999
358,1999-12-24,24,12,4,1999
359,1999-12-25,25,12,4,1999
360,1999-12-26,26,12,4,1999
361,1999-12-27,27,12,4,1999
362,1999-12-28,28,12,4,1999
363,1999-12-29,29,12,4,1999
364,1999-12-30,30,12,4,1999
365,1999-12-31,31,12,4,1999
366,2000-01-01,1,1,1,2000
367,2000-01-02,2,1,1,2000
368,2000-01-03,3,1,1,2000
369,2000-01-04,4,1,1,2000
370,2000-01-05,5,1,1,2000
371,2000-01-06,6,1,1,2000
372,2000-01-07,7,1,1,2000
373,2000-01-08,8,1,1,2000
374,2000-01-09,9,1,1,2000
375,2000-01-10,10,1,1,2000
376,2000-01-11,11,1,1,2000
377,2000-01-12,12,1,1,2000
378,2000-01-13,13,1,1,2000
379,2000-01-14,14,1,1,2000
380,2000-01-15,15,1,1,2000
381,2000-01-16,16,1,1,2000
382,2000-01-17,17,1,1,2000
383,2000-01-18,18,1,1,2000
384,2000-01-19,19,1,1,2000
385,2000-01-20,20,1,1,2000
386,2000-01-21,21,1,1,2000
387,2000-01-22,22,1,1,2000
388,2000-01-23,23,1,1,2000
389,2000-01-24,24,1,1,2000
390,2000-01-25,25,1,1,2000
391,2000-01-26,26,1,1,2000
392,2000-01-27,27,1,1,2000
393,2000-01-28,28,1,1,2000
394,2000-01-29,29,1,1,2000
395,2000-01-30,30,1,1,2000
396,2000-01-31,31,1,1,2000
397,2000-02-01,1,2,1,2000
398,2000-02-02,2,2,1,2000
399,2000-02-03,3,2,1,2000
400,2000-02-04,4,2,1,2000
401,2000-02-05,5,2,1,2000
402,2000-02-06,6,2,1,2000
403,2000-02-07,7,2,1,2000
404,2000-02-08,8,2,1,2000
405,2000-02-09,9,2,1,2000
406,2000-02-10,10,2,1,2000
407,2000-02-11,11,2,1,2000
408,2000-02-12,12,2,1,2000
409,2000-02-13,13,2,1,2000
410,2000-02-14,14,2,1,2000
411,2000-02-15,15,2,1,2000
412,2000-02-16,16,2,1,2000
413,2000-02-17,17,2,1,2000
414,2000-02-18,18,2,1,2000
415,2000-02-19,19,2,1,2000
416,2000-02-20,20,2,1,2000
417,2000-02-21,21,2,1,2000
418,2000-02-22,22,2,1,2000
419,2000-02-23,23,2,1,2000
420,2000-02-24,24,2,1,2000
421,2000-02-25,25,2,1,2000
422,2000-02-26,26,2,1,2000
423,2000-02-27,27,2,1,2000
424,2000-02-28,28,2,1,2000
425,2000-02-29,29,2,1,2000
426,2000-03-01,1,3,1,2000
427,2000-03-02,2,3,1,2000
428,2000-03-03,3,3,1,2000
429,2000-03-04,4,3,1,2000
430,2000-03-05,5,3,1,2000
431,2000-03-06,6,3,1,2000
432,2000-03-07,7,3,1,2000
433,2000-03-08,8,3,1,2000
434,2000-03-09,9,3,1,2000
435,2000-03-10,10,3,1,2000
436,2000-03-11,11,3,1,2000
437,2000-03-12,12,3,1,2000
438,2000-03-13,13,3,1,2000
439,2000-03-14,14,3,1,2000
440,2000-03-15,15,3,1,2000
441,2000-03-16,16,3,1,2000
442,2000-03-17,17,3,1,2000
443,2000-03-18,18,3,1,2000
444,2000-03-19,19,3,1,2000
445,2000-03-20,20,3,1,2000
446,2000-03-21,21,3,1,2000
447,2000-03-22,22,3,1,2000
448,2000-03-23,23,3,1,2000
449,2000-03-24,24,3,1,2000
450,2000-03-25,25,3,1,2000
451,2000-03-26,26,3,1,2000
452,2000-03-27,27,3,1,2000
453,2000-03-28,28,3,1,2000
454,2000-03-29,29,3,1,2000
455,2000-03-30,30,3,1,2000
456,2000-03-31,31,3,1,2000
457,2000-04-01,1,4,2,2000
458,2000-04-02,2,4,2,2000
459,2000-04-03,3,4,2,2000
460,2000-04-04,4,4,2,2000
461,2000-04-05,5,4,2,2000
462,2000-04-06,6,4,2,2000
463,2000-04-07,7,4,2,2000
464,2000-04-08,8,4,2,2000
465,2000-04-09,9,4,2,2000
466,2000-04-10,10,4,2,2000
467,2000-04-11,11,4,2,2000
468,2000-04-12,12,4,2,2000
469,2000-04-13,13,4,2,2000
470,2000-04-14,14,4,2,2000
471,2000-04-15,15,4,2,2000
472,2000-04-16,16,4,2,2000
473,2000-04-17,17,4,2,2000
474,2000-04-18,18,4,2,2000
475,2000-04-19,19,4,2,2000
476,2000-04-20,20,4,2,2000
477,2000-04-21,21,4,2,2000
478,2000-04-22,22,4,2,2000
479,2000-04-23,23,4,2,2000
480,2000-04-24,24,4,2,2000
481,2000-04-25,25,4,2,2000
482,2000-04-26,26,4,2,2000
483,2000-04-27,27,4,2,2000
484,2000-04-28,28,4,2,2000
485,2000-04-29,29,4,2,2000
486,2000-04-30,30,4,2,2000
487,2000-05-01,1,5,2,2000
488,2000-05-02,2,5,2,2000
489,2000-05-03,3,5,2,2000
490,2000-05-04,4,5,2,2000
491,2000-05-05,5,5,2,2000
492,2000-05-06,6,5,2,2000
493,2000-05-07,7,5,2,2000
494,2000-05-08,8,5,2,2000
495,2000-05-09,9,5,2,2000
496,2000-05-10,10,5,2,2000
497,2000-05-11,11,5,2,2000
498,2000-05-12,12,5,2,2000
499,2000-05-13,13,5,2,2000
500,2000-05-14,14,5,2,2000
501,2000-05-15,15,5,2,2000
502,2000-05-16,16,5,2,2000
503,2000-05-17,17,5,2,2000
504,2000-05-18,18,5,2,2000
505,2000-05-19,19,5,2,2000
506,2000-05-20,20,5,2,2000
507,2000-05-21,21,5,2,2000
508,2000-05-22,22,5,2,2000
509,2000-05-23,23,5,2,2000
510,2000-05-24,24,5,2,2000
511,2000-05-25,25,5,2,2000
512,2000-05-26,26,5,2,2000
513,2000-05-27,27,5,2,2000
514,2000-05-28,28,5,2,2000
515,2000-05-29,29,5,2,2000
516,2000-05-30,30,5,2,2000
517,2000-05-31,31,5,2,2000
518,2000-06-01,1,6,2,2000
519,2000-06-02,2,6,2,2000
520,2000-06-03,3,6,2,2000
521,2000-06-04,4,6,2,2000
522,2000-06-05,5,6,2,2000
523,2000-06-06,6,6,2,2000
524,2000-06-07,7,6,2,2000
525,2000-06-08,8,6,2,2000
526,2000-06-09,9,6,2,2000
527,2000-06-10,10,6,2,2000
528,2000-06-11,11,6,2,2000
529,2000-06-12,12,6,2,2000
530,2000-06-13,13,6,2,2000
531,2000-06-14,14,6,2,2000
532,2000-06-15,15,6,2,2000
533,2000-06-16,16,6,2,2000
534,2000-06-17,17,6,2,2000
535,2000-06-18,18,6,2,2000
536,2000-06-19,19,6,2,2000
537,2000-06-20,20,6,2,2000
538,2000-06-21,21,6,2,2000
539,2000-06-22,22,6,2,2000
540,2000-06-23,23,6,2,2000
541,2000-06-24,24,6,2,2000
542,2000-06-25,25,6,2,2000
543,2000-06-26,26,6,2,2000
544,2000-06-27,27,6,2,2000
545,2000-06-28,28,6,2,2000
546,2000-06-29,29,6,2,2000
547,2000-06-30,30,6,2,2000
548,2000-07-01,1,7,2,2000
549,2000-07-02,2,7,2,2000
550,2000-07-03,3,7,2,2000
551,2000-07-04,4,7,2,2000
552,2000-07-05,5,7,2,2000
